Sp_Class  ,  u_mag  ,  g_mag  ,  r_mag  ,  i_mag  ,  z_mag ,RA,Dec
DA_auto      ,20.252,19.815,19.879,20.014,20.288,35.351171,-1.099531
DA_auto      ,20.252,19.815,19.879,20.014,20.288,35.351171,-1.099531
DA+M         ,21.399,20.673,20.272,19.531,18.981,35.355669,0.286235
DC           ,18.555,18.409,18.459,18.638,18.832,35.447061,-8.710034
DA           ,19.071,18.7,18.725,18.856,19.025,35.4898,-9.004749
DA           ,18.406,18.007,18.188,18.392,18.595,35.529373,-1.013915
DA           ,18.406,18.007,18.188,18.392,18.595,35.529373,-1.013915
DA           ,18.406,18.007,18.188,18.392,18.595,35.529373,-1.013915
DA           ,18.406,18.007,18.188,18.392,18.595,35.529373,-1.013915
DA           ,18.406,18.007,18.188,18.392,18.595,35.529373,-1.013915
WD:+M        ,        ,        ,        ,        ,        ,35.55531,0.45198
WD:+M        ,        ,        ,        ,        ,        ,35.55531,0.45198
WD:+M        ,        ,        ,        ,        ,        ,35.55531,0.45198
WD:+M        ,        ,        ,        ,        ,        ,35.55531,0.45198
DA           ,20.096,19.973,20.242,20.499,20.413,35.584768,-0.392285
DA           ,20.096,19.973,20.242,20.499,20.413,35.584768,-0.392285
DA           ,20.096,19.973,20.242,20.499,20.413,35.584768,-0.392285
DA           ,20.096,19.973,20.242,20.499,20.413,35.584768,-0.392285
DA           ,20.096,19.973,20.242,20.499,20.413,35.584768,-0.392285
DA_auto      ,20.121,19.68,19.688,19.996,20.097,35.595215,-0.840721
DA           ,19.305,19.263,19.655,19.923,20.364,35.611611,-0.732875
DA           ,19.305,19.263,19.655,19.923,20.364,35.611611,-0.732875
DA           ,19.305,19.263,19.655,19.923,20.364,35.611611,-0.732875
DA           ,19.305,19.263,19.655,19.923,20.364,35.611611,-0.732875
DA           ,19.305,19.263,19.655,19.923,20.364,35.611611,-0.732875
DA           ,19.811,19.31,19.202,19.201,19.118,35.770744,-9.373042
DA           ,18.968,18.779,19.098,19.335,19.614,35.884381,0.245416
DA           ,18.968,18.779,19.098,19.335,19.614,35.884381,0.245416
DA           ,18.968,18.779,19.098,19.335,19.614,35.884381,0.245416
DA           ,18.968,18.779,19.098,19.335,19.614,35.884381,0.245416
DA           ,18.968,18.779,19.098,19.335,19.614,35.884381,0.245416
DA           ,20.157,19.773,19.625,19.589,19.739,35.896468,0.831912
DA           ,20.157,19.773,19.625,19.589,19.739,35.896468,0.831912
DA           ,20.157,19.773,19.625,19.589,19.739,35.896468,0.831912
DA           ,20.157,19.773,19.625,19.589,19.739,35.896468,0.831912
DA           ,20.157,19.773,19.625,19.589,19.739,35.896468,0.831912
DA           ,20.096,19.771,19.762,19.786,19.655,36.112343,-9.30653
DA           ,19.498,18.979,19.011,19.092,19.261,36.147781,0.649285
DA           ,19.498,18.979,19.011,19.092,19.261,36.147781,0.649285
DA           ,19.498,18.979,19.011,19.092,19.261,36.147781,0.649285
DA           ,19.498,18.979,19.011,19.092,19.261,36.147781,0.649285
DA           ,19.498,18.979,19.011,19.092,19.261,36.147781,0.649285
DC+M         ,21.346,20.533,19.65,18.351,17.469,36.262633,0.915566
DA           ,18.82,18.814,19.177,19.438,19.858,36.319145,0.47506
DA           ,18.82,18.814,19.177,19.438,19.858,36.319145,0.47506
DA           ,18.82,18.814,19.177,19.438,19.858,36.319145,0.47506
DA           ,18.82,18.814,19.177,19.438,19.858,36.319145,0.47506
DA           ,18.82,18.814,19.177,19.438,19.858,36.319145,0.47506
DA           ,20.412,19.994,20.198,20.362,20.247,36.348646,0.461968
DA           ,20.412,19.994,20.198,20.362,20.247,36.348646,0.461968
DA           ,20.412,19.994,20.198,20.362,20.247,36.348646,0.461968
DA           ,20.412,19.994,20.198,20.362,20.247,36.348646,0.461968
DA           ,20.412,19.994,20.198,20.362,20.247,36.348646,0.461968
DB           ,18.978,19.034,19.251,19.454,19.651,36.35116,-8.050509
DA           ,19.849,19.488,19.58,19.742,19.939,36.379004,-9.070793
DA           ,19.151,19.082,19.406,19.736,19.99,36.405575,-9.239209
DA           ,20.527,20.127,20.151,20.371,20.501,36.577514,-8.513719
DA           ,18.268,18.101,18.437,18.737,18.995,36.679075,-7.702386
DA           ,20.048,19.784,19.922,20.101,20.323,36.732768,0.063166
DA           ,20.048,19.784,19.922,20.101,20.323,36.732768,0.063166
DA           ,20.048,19.784,19.922,20.101,20.323,36.732768,0.063166
DA           ,20.048,19.784,19.922,20.101,20.323,36.732768,0.063166
DA           ,20.048,19.784,19.922,20.101,20.323,36.732768,0.063166
DA_auto      ,20.016,19.606,19.705,19.822,19.927,36.887901,0.866766
DA_auto      ,20.293,19.849,19.921,20.013,19.887,36.888128,0.864913
DA           ,18.667,18.677,19.075,19.379,19.65,36.925974,0.098803
DA           ,18.667,18.677,19.075,19.379,19.65,36.925974,0.098803
DA           ,18.667,18.677,19.075,19.379,19.65,36.925974,0.098803
DA           ,18.667,18.677,19.075,19.379,19.65,36.925974,0.098803
DA           ,18.667,18.677,19.075,19.379,19.65,36.925974,0.098803
DA           ,20.587,20.033,20.082,20.184,20.254,36.986527,-0.688715
DA           ,20.587,20.033,20.082,20.184,20.254,36.986527,-0.688715
DA           ,20.587,20.033,20.082,20.184,20.254,36.986527,-0.688715
DA           ,20.587,20.033,20.082,20.184,20.254,36.986527,-0.688715
DA           ,20.587,20.033,20.082,20.184,20.254,36.986527,-0.688715
DA           ,17.508,17.02,17.182,17.369,17.602,37.035573,-8.583678
DA           ,19.834,19.809,20.166,20.413,21.251,37.071536,-8.454557
DA+M         ,19.152,18.757,18.869,18.511,17.961,37.149673,-7.675653
DZ           ,20.426,20.115,20.089,20.225,20.288,37.21656,-0.160772
DA_auto      ,19.454,19.521,19.988,20.233,20.223,37.245007,-0.842001
DA           ,20.744,20.447,20.623,20.711,20.971,37.319074,-8.593598
DA           ,19.171,18.79,18.649,18.651,18.866,37.336861,-8.167669
DC           ,19.346,19.079,19.079,19.159,19.325,37.402838,-0.68707
DA+M         ,20.323,20.155,20.28,19.865,19.201,37.564041,1.166347
DB           ,20.406,20.511,20.696,20.819,21.094,37.570529,-1.16406
DB:          ,19.728,19.711,19.817,20.006,20.27,37.609466,-0.328752
DA           ,19.856,19.487,19.757,19.969,20.309,37.631507,0.955048
DB+M:        ,19.671,19.757,20.071,20.335,20.84,37.698474,-8.358935
DC           ,19.089,18.926,18.911,19.027,19.069,37.799537,-8.13767
DC           ,19.089,18.926,18.911,19.027,19.069,37.799537,-8.13767
DA+M         ,25.418,23.811,20.447,19.266,18.65,37.804259,-0.68255
DA+M         ,25.418,23.811,20.447,19.266,18.65,37.804259,-0.68255
DA           ,19.946,19.67,19.925,20.237,20.214,37.908361,-9.133383
DA_auto      ,20.269,19.789,19.566,19.476,19.535,37.933329,-0.71088
DA           ,20.253,20.059,20.358,20.689,20.879,38.023856,-8.306088
DA           ,19.738,19.494,19.777,19.975,20.39,38.040976,0.338728
DA           ,20.399,20.159,20.485,20.653,20.737,38.135121,-0.710871
DA_auto      ,20.349,19.935,19.938,20.121,20.08,38.197924,-0.652599
DA_auto      ,20.295,20.146,20.403,20.75,20.995,38.204902,0.843963
DA_auto      ,20.638,20.302,20.346,20.381,20.506,38.234244,0.600666
DBA          ,18.141,18.148,18.499,18.771,18.874,38.389263,-9.390373
DA_auto      ,19.56,19.198,19.335,19.536,19.573,38.389395,0.360496
DA_auto      ,19.56,19.198,19.335,19.536,19.573,38.389395,0.360496
DA           ,20.507,20.383,20.726,20.91,21.541,38.614132,-9.519618
DA+M         ,17.087,16.709,16.181,15.373,14.829,38.813101,-0.126978
DA           ,17.619,17.798,18.222,18.503,18.964,38.833393,-9.582281
DA           ,18.447,18.162,18.477,18.718,18.929,38.910908,-7.211855
DA           ,18.636,18.133,18.143,18.25,18.373,38.929581,0.93255
DA           ,18.636,18.133,18.143,18.25,18.373,38.929581,0.93255
DA           ,18.636,18.133,18.143,18.25,18.373,38.929581,0.93255
DA           ,19.94,19.597,19.797,20.073,20.328,38.990105,0.894892
DA_Q:        ,19.958,19.759,19.779,19.842,19.954,39.039079,-8.140004
DB:          ,19.765,20.21,20.67,21.023,21.501,39.056284,-0.402035
DA           ,19.667,19.252,19.523,19.687,19.981,39.05686,-0.639503
DB           ,18.998,19.015,19.187,19.334,19.466,39.060181,-8.134721
DB           ,18.627,18.62,18.876,19.072,19.143,39.072186,-7.583436
DA           ,19.632,19.241,19.285,19.391,19.513,39.140676,-0.170198
DQhot        ,19.281,19.774,20.263,20.513,20.313,39.155947,-7.574903
DA           ,18.942,18.477,18.445,18.487,18.601,39.162398,-7.808487
DA_auto      ,20.138,19.728,19.826,20,20.198,39.166946,0.863632
DA+M:        ,18.332,18.28,18.625,18.795,18.797,39.210882,-1.053687
DA+M:        ,18.332,18.28,18.625,18.795,18.797,39.210882,-1.053687
DC           ,19.15,19.317,19.545,19.741,19.996,39.308126,-0.811405
DA+M         ,19.77,19.206,18.666,17.698,16.969,39.518293,-0.096031
DA           ,19.145,18.771,18.976,19.163,19.343,39.533701,0.819085
DA:          ,20.632,20.235,20.15,20.187,20.345,39.711122,-1.181008
DA           ,19.963,19.624,19.54,19.629,19.838,39.750824,0.174228
DA           ,20.009,19.668,19.93,20.154,20.331,39.777901,0.487949
DA:          ,20.697,20.319,20.337,20.349,20.52,39.923153,-0.388841
DQ           ,20.095,19.724,19.596,19.643,19.725,39.937615,0.462506
DA           ,20.584,20.204,20.438,20.74,21.093,39.952196,0.600864
DA           ,19.355,19.287,19.648,19.912,20.297,39.963694,-7.206747
DA           ,19.644,19.224,19.326,19.502,19.761,40.036703,-0.585348
DA           ,19.57,19.193,19.056,19.03,19.216,40.217165,-8.640749
DC           ,17.909,17.821,17.95,18.159,18.258,40.244999,-0.659585
DB           ,20.263,20.465,20.777,20.959,20.635,40.262905,-7.679066
DA:          ,20.472,19.906,19.827,19.826,19.796,40.296536,0.721969
DA           ,19.804,19.361,19.429,19.511,19.729,40.317502,-0.295276
DA           ,20.362,20.1,20.353,20.644,20.735,40.389088,0.007041
DB           ,19.713,19.71,20.02,20.237,20.891,40.613009,-8.133383
DA           ,18.54,18.716,19.133,19.513,19.68,40.674213,-7.510532
DA           ,18.309,17.909,17.868,17.942,18.059,40.774216,-7.476464
DA+M         ,20.066,19.534,18.975,18.064,17.487,40.794173,0.679006
DA           ,20.116,19.747,20,20.112,20.14,40.835585,-0.709546
DA:          ,20.787,20.317,20.179,20.254,20.302,40.850302,0.794241
DA           ,19.371,19.297,19.629,19.895,20.177,40.867242,-0.546431
DQ           ,20.441,20.37,20.288,20.319,20.27,40.886474,1.019975
DA           ,20.4,19.874,19.917,19.956,20.052,40.934586,-0.118279
DA           ,19.414,18.952,18.876,18.86,19,40.958544,-0.833576
DA           ,19.414,18.952,18.876,18.86,19,40.958544,-0.833576
DA           ,20.083,19.728,19.944,20.204,20.811,41.043287,-8.656423
DA_auto      ,20.042,19.9,20.187,20.628,20.715,41.079883,1.046706
DB           ,19.265,19.332,19.617,19.748,19.959,41.182021,-0.87447
DA_auto      ,20.349,19.885,19.877,19.916,20.007,41.182242,1.220112
DA           ,18.971,18.63,18.574,18.579,18.734,41.20502,-0.46048
DA           ,18.971,18.63,18.574,18.579,18.734,41.20502,-0.46048
DB+M         ,18.809,18.742,18.461,17.655,17,41.272813,0.467946
DA_auto      ,20.517,20.121,20.085,19.999,20.032,41.320552,-0.365053
DA+M         ,19.734,19.212,18.718,17.74,17.08,41.329695,1.199219
DA           ,17.571,17.211,17.476,17.745,18.003,41.511226,0.427581
DA           ,19.164,19.279,19.658,19.86,19.985,41.56815,-6.973845
DA_auto      ,20.833,20.376,20.303,20.308,20.125,41.676242,0.165994
DA+M         ,19.994,19.231,18.424,17.292,16.6,41.677336,0.693644
DA+M         ,19.994,19.231,18.424,17.292,16.6,41.677336,0.693644
DA+M         ,19.994,19.231,18.424,17.292,16.6,41.677336,0.693644
DA+M         ,19.994,19.231,18.424,17.292,16.6,41.677336,0.693644
DA           ,19.4,18.985,19.038,19.233,19.362,41.694879,-8.319699
DA           ,19.937,19.951,20.322,20.667,20.206,41.752045,-7.096417
DA           ,19.736,19.743,20.206,20.474,20.411,41.894258,-7.11915
DA_auto      ,16.472,16.244,16.651,16.913,17.197,41.943076,0.058749
DA           ,18.752,18.498,18.833,19.212,19.488,42.035823,-8.503813
DA           ,19.445,18.886,19.095,19.304,19.47,42.039538,-8.325729
DA           ,18.305,17.981,18.257,18.462,18.747,42.091464,0.852474
DA_auto      ,19.664,19.184,19.224,19.312,19.519,42.156392,-0.52332
DA_auto      ,19.664,19.184,19.224,19.312,19.519,42.156392,-0.52332
DA_auto      ,20.545,20.4,20.731,21.014,20.533,42.223938,0.958636
DA           ,19.422,19.104,19.416,19.666,19.914,42.229392,-0.694026
DA_auto      ,19.858,19.495,19.506,19.548,19.773,42.28733,0.789697
DA           ,20.422,20.084,20.268,20.409,20.65,42.309856,-0.158644
DA_auto      ,19.304,18.879,18.925,19.05,19.208,42.343137,-1.00187
DA           ,20.254,20.161,20.515,20.819,20.799,42.612911,-6.938814
DA_auto      ,17.419,17.294,17.583,17.873,18.139,42.636641,-0.973195
DA_auto      ,17.419,17.294,17.583,17.873,18.139,42.636641,-0.973195
DA           ,19.38,19.026,19.266,19.522,19.714,42.684744,-8.202595
DA+M:        ,18.29,18.544,18.812,18.758,18.4,42.847216,-1.22067
DA           ,19.679,19.174,19.017,18.971,18.989,42.871176,0.463709
DA           ,19.679,19.174,19.017,18.971,18.989,42.871176,0.463709
DA+M         ,19.951,18.817,17.907,16.599,15.845,42.924681,-0.691634
DA+M         ,19.951,18.817,17.907,16.599,15.845,42.924681,-0.691634
DA+M         ,19.951,18.817,17.907,16.599,15.845,42.924681,-0.691634
DA+M         ,21.532,20.81,20.306,19.141,18.372,42.94938,-0.000898
DA+M         ,21.532,20.81,20.306,19.141,18.372,42.94938,-0.000898
DA           ,20.415,19.877,20.135,20.388,21.231,42.977533,-8.292175
DA           ,18.682,18.388,18.473,18.57,18.732,43.004126,0.762302
DA           ,18.682,18.388,18.473,18.57,18.732,43.004126,0.762302
DA           ,18.682,18.388,18.473,18.57,18.732,43.004126,0.762302
DA:+M        ,16.502,16.846,17.349,17.778,18.013,43.010257,-1.087703
DA           ,20.68,20.279,20.664,20.94,21.963,43.213496,-8.492312
DA           ,20.785,20.428,20.62,20.967,20.883,43.240606,-7.446219
DA_auto      ,17.794,17.343,17.212,17.241,17.373,43.269901,0.229121
DA+M         ,19.429,19.043,19.139,19.331,18.49,43.276544,0.224826
DA_auto      ,18.288,18.092,18.406,18.613,18.92,43.357653,-0.464321
DA_auto      ,18.732,18.457,18.701,18.943,19.177,43.415431,-0.658229
DC           ,20.134,19.655,19.606,19.498,19.598,43.504817,0.308997
DO           ,16.528,17.01,17.51,17.889,18.135,43.515642,0.981729
DA           ,20.228,19.95,20.2,20.485,21.216,43.516268,-0.06248
DA           ,20.228,19.95,20.2,20.485,21.216,43.516268,-0.06248
DA_auto      ,20.556,20.156,20.152,20.192,20.32,43.645771,1.053491
DA           ,20.373,20.062,20.325,20.515,21.108,43.695828,-1.010147
DA           ,20.373,20.062,20.325,20.515,21.108,43.695828,-1.010147
DA           ,20.409,19.937,19.946,20.049,20.388,43.731805,-6.771126
DA           ,20.528,20.25,20.525,20.74,20.353,43.736017,-7.176893
DA           ,20.18,19.683,19.886,20.098,20.254,43.765463,-1.07328
DA           ,20.18,19.683,19.886,20.098,20.254,43.765463,-1.07328
DC           ,19.302,18.74,18.603,18.567,18.546,43.775568,-7.264278
DA           ,17.813,17.767,18.078,18.346,18.736,43.779145,-8.147839
DA+M         ,20.769,19.829,18.816,17.814,17.229,43.788764,-0.737489
DA+M         ,20.769,19.829,18.816,17.814,17.229,43.788764,-0.737489
DA           ,20.303,19.89,20.1,20.295,20.326,43.8792,-0.93136
DA           ,20.303,19.89,20.1,20.295,20.326,43.8792,-0.93136
DA_auto      ,20.177,19.627,19.796,19.942,20.264,43.952623,0.137753
DA           ,19.842,19.35,19.591,19.802,19.821,43.973564,-8.651415
DA+M         ,17.252,16.809,16.854,16.251,15.642,44.044195,-7.506819
DA           ,20.027,19.691,19.941,20.09,20.236,44.047977,0.317335
DA           ,20.027,19.691,19.941,20.09,20.236,44.047977,0.317335
DA+M         ,19.839,19.458,19.331,18.788,18.278,44.091846,-6.843396
DA           ,17.654,18.059,18.451,18.782,19.075,44.103133,0.599433
DA           ,17.654,18.059,18.451,18.782,19.075,44.103133,0.599433
DA           ,19.821,19.556,19.717,19.97,20.159,44.109325,-6.718623
DA           ,17.805,17.387,17.593,17.783,18.068,44.287507,0.774433
DA           ,17.805,17.387,17.593,17.783,18.068,44.287507,0.774433
DA           ,20.266,19.851,19.914,19.975,19.632,44.340459,-8.206602
DA           ,19.948,19.825,20.112,20.373,20.734,44.417866,0.850883
DA           ,19.948,19.825,20.112,20.373,20.734,44.417866,0.850883
DA           ,17.829,17.615,17.921,18.203,18.429,44.443352,1.018371
DA           ,17.829,17.615,17.921,18.203,18.429,44.443352,1.018371
DA:+M        ,21.046,20.271,19.459,18.161,17.344,44.449168,0.817305
DA:+M        ,21.046,20.271,19.459,18.161,17.344,44.449168,0.817305
DA+M         ,19.967,19.407,19.469,18.968,18.326,44.472507,-0.533239
DA+M         ,19.967,19.407,19.469,18.968,18.326,44.472507,-0.533239
DA+M         ,19.967,19.407,19.469,18.968,18.326,44.472507,-0.533239
DA           ,18.433,18.008,18.091,18.162,18.319,44.505002,-0.900032
DA           ,18.433,18.008,18.091,18.162,18.319,44.505002,-0.900032
DA           ,18.433,18.008,18.091,18.162,18.319,44.505002,-0.900032
DB:          ,20.134,20.207,20.409,20.722,20.916,44.53474,-6.810662
DA+M         ,18.093,18.179,18.078,17.377,16.823,44.574517,1.162755
DA+M         ,18.093,18.179,18.078,17.377,16.823,44.574517,1.162755
DA+M         ,18.093,18.179,18.078,17.377,16.823,44.574517,1.162755
DA           ,20.184,19.747,19.877,20.078,20.013,44.655024,0.005344
DA           ,20.184,19.747,19.877,20.078,20.013,44.655024,0.005344
DA           ,20.231,19.723,19.895,20.117,20.272,44.677971,-0.028423
DA           ,20.231,19.723,19.895,20.117,20.272,44.677971,-0.028423
DBZ          ,18.001,18.029,18.321,18.534,18.807,44.895749,-7.35952
DA_auto      ,16.976,17.317,17.749,18.088,18.412,44.896993,-1.234752
DA           ,20.531,20.219,20.58,20.828,21.555,45.033311,-0.258627
DA           ,20.531,20.219,20.58,20.828,21.555,45.033311,-0.258627
DA           ,19.813,19.613,19.829,20.088,20.429,45.117738,-8.690692
DA_auto      ,20.158,19.769,19.783,19.911,20.026,45.295473,-0.078849
DA+M:        ,21.444,20.89,20.299,19.812,19.645,45.41149,0.673924
DA_auto      ,20.695,20.386,20.326,20.49,20.355,45.720421,1.188119
DBZ          ,15.313,15.402,15.64,15.882,16.123,45.721195,-1.142739
DB           ,19.835,19.831,20.013,20.274,20.414,45.726346,-8.187926
DA_auto      ,20.943,20.433,20.568,20.717,20.654,45.758602,0.448783
DA+M         ,20.241,19.761,19.65,19.073,18.415,45.760137,-6.474958
DC:+M        ,19.141,18.604,18.063,16.897,16.041,45.784841,0.912152
DA           ,19.056,18.744,18.901,19.065,19.262,45.855101,-8.143031
DA           ,18.218,17.917,17.852,17.857,17.923,45.896178,0.039329
DA           ,18.218,17.917,17.852,17.857,17.923,45.896178,0.039329
DA           ,18.218,17.917,17.852,17.857,17.923,45.896178,0.039329
DA           ,18.218,17.917,17.852,17.857,17.923,45.896178,0.039329
DA_auto      ,18.204,17.879,18.133,18.358,18.546,45.925956,0.886218
DA_auto      ,20.184,19.935,20.168,20.403,20.426,45.942201,0.66687
DA+M         ,20.722,19.853,18.976,18.067,17.562,45.966541,0.596804
DA+M         ,20.722,19.853,18.976,18.067,17.562,45.966541,0.596804
DA+M         ,20.722,19.853,18.976,18.067,17.562,45.966541,0.596804
DA_auto      ,20.25,19.719,19.87,19.953,20.207,45.982907,0.389238
DA           ,19.907,19.411,19.364,19.444,19.422,45.989718,-7.699634
DAH          ,18.045,17.748,17.926,18.13,18.381,46.030821,-0.42831
DA_auto      ,20.433,19.907,20.063,20.175,20.115,46.074384,-0.537891
DA_auto      ,19.744,19.186,19.4,19.59,19.748,46.115428,0.360228
DA_auto      ,19.744,19.186,19.4,19.59,19.748,46.115428,0.360228
DA           ,20.14,20.165,20.613,20.852,20.837,46.210751,-7.690436
DA           ,19.804,19.272,19.468,19.643,19.741,46.319425,-8.145306
DA           ,20.514,20.216,20.315,20.526,20.723,46.35366,-7.965001
DA+M         ,18.679,18.326,18.122,17.3,16.701,46.435067,-7.828121
DA           ,20.722,20.295,20.357,20.633,20.521,46.450397,-6.55182
DA           ,20.038,19.605,19.501,19.469,19.582,46.494007,-0.623261
DA           ,20.038,19.605,19.501,19.469,19.582,46.494007,-0.623261
DA           ,20.34,19.965,19.865,19.893,20.256,46.507505,-7.639532
DA+M         ,16.512,16.23,16.132,15.294,14.614,46.52995,-0.520656
DA_auto      ,20.556,20.163,20.285,20.527,20.716,46.557537,-0.563182
DA           ,18.65,18.179,18.205,18.221,18.373,46.565563,-6.973998
DA           ,18.337,17.886,17.787,17.835,17.874,46.633682,-6.64849
DA_auto      ,19.352,18.977,18.903,18.936,19.024,46.693099,-1.228522
DA_auto      ,20.031,19.642,19.863,20.199,20.284,46.698852,1.163834
DA+M         ,20.696,20.31,19.915,19.016,18.429,46.887806,0.687023
DA           ,19.491,19.049,19.251,19.444,19.82,46.903313,1.184577
DA           ,19.491,19.049,19.251,19.444,19.82,46.903313,1.184577
DA           ,19.491,19.049,19.251,19.444,19.82,46.903313,1.184577
DA           ,19.491,19.049,19.251,19.444,19.82,46.903313,1.184577
DA           ,19.491,19.049,19.251,19.444,19.82,46.903313,1.184577
DA           ,18.905,18.998,19.377,19.636,19.879,46.935605,-7.520988
DA+M         ,20.087,20.246,19.92,19.282,18.632,46.995066,-0.441385
DA           ,18.687,18.524,18.782,18.993,19.249,46.997006,-8.591022
DZ           ,20.257,20.123,20.145,20.199,20.264,47.001671,-6.950022
DA_auto      ,20.87,20.14,20.176,20.305,20.34,47.007857,-0.01649
DA_auto      ,18.794,18.334,18.227,18.217,18.25,47.069949,0.683155
DA_auto      ,19.771,19.757,20.053,20.316,20.67,47.140451,-1.019365
DA_auto      ,19.647,19.25,19.275,19.308,19.406,47.142857,0.474226
DA           ,18.001,17.613,17.831,18.042,18.345,47.201777,-6.992636
DA           ,20.253,20.152,20.454,20.575,21.274,47.206968,-7.518323
DA+M         ,20.072,19.501,18.873,17.797,17.053,47.249437,-0.459945
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DA+M         ,20.775,20.242,19.502,18.429,17.769,47.270105,-1.01694
DB           ,18.957,19.032,19.264,19.494,19.776,47.341904,1.098982
DA_auto      ,20.163,19.59,19.373,19.3,19.244,47.351219,-0.751196
DA           ,19.282,18.789,18.668,18.619,18.697,47.422986,0.883128
DA           ,19.282,18.789,18.668,18.619,18.697,47.422986,0.883128
DA           ,19.282,18.789,18.668,18.619,18.697,47.422986,0.883128
DA           ,19.282,18.789,18.668,18.619,18.697,47.422986,0.883128
DA           ,19.282,18.789,18.668,18.619,18.697,47.422986,0.883128
DA           ,20.703,20.333,20.506,20.81,20.662,47.573025,-7.655198
DA_auto      ,18.119,17.851,18.073,18.361,18.657,47.79747,-0.06234
DA_auto      ,19.269,18.729,18.925,19.067,19.319,47.973583,1.070841
DA+M         ,21.2,20.834,20.687,19.831,19.107,48.028398,-0.362628
DA_auto      ,20.656,20.215,20.125,20.177,20.19,48.046099,-0.681567
DA           ,19.569,19.22,19.464,19.649,19.869,48.133551,-6.152029
DA           ,20.081,19.486,19.358,19.302,19.379,48.162859,0.442101
DA           ,19.696,19.238,19.307,19.432,19.592,48.168739,-7.510811
DA           ,19.631,19.38,19.466,19.589,19.635,48.183967,-6.104416
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,19.12,18.72,18.666,18.74,18.837,48.255925,1.099497
DA           ,16.625,16.475,16.813,17.111,17.405,48.274238,-7.130395
DA_auto      ,19.655,19.269,19.219,19.226,19.307,48.357997,1.058189
DA           ,20.475,20.136,20.258,20.393,20.316,48.398329,0.174363
DA           ,20.475,20.136,20.258,20.393,20.316,48.398329,0.174363
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA+M         ,20.784,19.884,19.029,17.773,16.982,48.520773,-1.193527
DA           ,18.423,18.572,18.939,19.237,19.534,48.524332,-8.29031
DB           ,19.513,19.534,19.723,19.961,20.139,48.542836,-7.85725
DA           ,20.617,20.368,20.558,20.671,20.735,48.588439,0.478396
DA           ,20.617,20.368,20.558,20.671,20.735,48.588439,0.478396
DA_auto      ,19.007,19.185,19.556,19.807,19.893,48.592554,0.173653
DA_auto      ,20.419,20.052,20.02,20.148,20.111,48.63486,-0.725488
DA_auto      ,20.419,20.052,20.02,20.148,20.111,48.63486,-0.725488
DA_auto      ,20.419,20.052,20.02,20.148,20.111,48.63486,-0.725488
DZ:          ,19.999,19.96,20.053,20.258,20.224,48.70107,-8.465344
DA           ,18.573,18.094,18.283,18.332,18.705,48.733591,-6.270187
DA           ,17.945,17.742,18.052,18.259,18.479,48.769113,-6.957567
DA_auto      ,20.167,19.632,19.645,19.688,19.736,48.837729,0.352532
DA_auto      ,21.144,20.567,20.566,20.731,20.712,48.858045,1.228515
DA           ,17.774,17.294,17.358,17.446,17.577,48.896256,-8.465837
DA_auto      ,20.077,19.586,19.454,19.374,19.372,48.971246,1.19933
DA_auto      ,20.594,20.119,20.168,20.288,20.148,49.004656,-1.232641
DB           ,19.895,19.975,20.211,20.479,21.049,49.038023,-6.432455
DC           ,19.576,19.018,18.828,18.769,18.916,49.062969,0.787753
DA_auto      ,20.461,19.958,20.197,20.494,20.604,49.118173,0.134545
DA           ,19.5,19.033,19.041,19.231,19.494,49.127672,-8.258098
DB:          ,20.226,20.193,20.414,20.591,21.067,49.163625,0.296343
DA_auto      ,20.077,19.836,20.091,20.265,20.459,49.377077,1.108181
DA           ,19.216,18.844,18.739,18.742,18.893,49.405467,0.842625
DA           ,19.216,18.844,18.739,18.742,18.893,49.405467,0.842625
DA:          ,20.654,20.262,20.045,19.975,19.946,49.507616,-0.568783
DA           ,18.477,18.342,18.637,18.87,19.092,49.50975,0.744387
DA           ,18.477,18.342,18.637,18.87,19.092,49.50975,0.744387
DA_auto      ,15.035,14.614,14.829,15.05,15.318,49.555319,-1.119922
DA           ,18.589,18.939,19.418,19.719,19.946,49.624598,-7.462954
DA           ,18.219,17.801,17.988,18.112,18.299,49.6962,0.508226
DA           ,18.219,17.801,17.988,18.112,18.299,49.6962,0.508226
DA           ,17.918,18.342,18.856,19.248,19.651,49.742843,0.390465
